token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TOR004	0	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=1.14	_	_	_	_
0-1	TOR004	0	0	1	[allora]	allora	_	_	_	_	_	linguistic	_	none	_	End=2.0	_	_	_	0-6(0)
1-0	TOI076	1	1	0	[certo	certo	_	_	_	_	_	linguistic	_	none	_	Begin=1.27	_	_	_	0-5(0)
1-1	TOI076	1	1	1	parlo]	parlo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(0)
1-2	TOI076	1	1	2	normale	normale	_	_	_	_	_	linguistic	_	none	_	End=2.4	_	_	_	_
2-0	TOR004	2	2	0	siamo	siamo	_	_	_	_	_	linguistic	_	none	_	Begin=2.73	_	_	_	_
2-1	TOR004	2	2	1	par[titi]	partiti	_	_	_	_	_	linguistic	_	none	_	End=3.63	_	_	_	3-7(1)
3-0	TOI076	3	3	0	[che	che	_	_	_	_	_	linguistic	_	none	_	Begin=3.12	_	_	_	0-3(1)
3-1	TOI076	3	3	1	(vuoi)]	vuoi	_	_	_	_	_	linguistic	_	none	_	End=3.63	_	_	0-4(0)	0-4(1)
4-0	TOR004	4	4	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=4.715	_	_	_	_
4-1	TOR004	4	4	1	grazie	grazie	_	_	_	_	_	linguistic	_	none	_	End=5.575	_	_	_	_
5-0	TOR004	5	5	0	per	per	_	_	_	_	_	linguistic	_	none	_	Begin=5.77	_	_	_	_
5-1	TOR004	5	5	1	esservi	esservi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	TOR004	5	5	2	fatti	fatti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	TOR004	5	5	3	intervistare	intervistare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	TOR004	5	5	4	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=7.83	_	_	_	_
6-0	TOI076	6	6	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=7.15|End=7.95	_	_	_	_
7-0	TOR004	7	7	0	già	già	_	_	_	_	_	linguistic	_	none	_	Begin=8.33	_	_	_	_
7-1	TOR004	7	7	1	ride	ride	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	TOR004	7	7	2	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=10.02	_	_	_	_
